"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step","Run"
"1173",6.16255036166579,0.913125983610764,0,3,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1174",8.22757030633211,0.896009097853798,0,4,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1175",10.2925902509984,0.87209140188252,0,5,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1176",12.3576101956647,0.847887949352994,0,6,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1177",14.4226301403311,0.81814571101596,0,7,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1178",16.4876500849974,0.782589969821262,0,8,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1179",18.5526700296637,0.746401376729868,0,9,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1180",20.61768997433,0.707042371628026,0,10,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1181",22.6827099189963,0.665420720560845,0,11,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1182",24.7477298636626,0.62312008663456,0,12,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1183",26.812749808329,0.577351870915869,0,13,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1184",28.8777697529953,0.533895412813693,0,14,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1185",30.9427896976616,0.485854719232354,0,15,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1186",2.03250997233316,0.941941993404027,0,1,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1187",4.09753041699947,0.93054548203177,0,2,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1188",6.16255036166579,0.919518721441571,0,3,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1189",8.22757030633211,0.902727573950707,0,4,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1190",10.2925902509984,0.879469524007051,0,5,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1191",12.3576101956647,0.855533140001456,0,6,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1192",14.4226301403311,0.826721764592372,0,7,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
