run,Comparison.type,Yard.Diff,Neighbor.Distance,Num.Nursery,Mimicry,Constraints,Step
346,equal,1,12,1,TRUE,off,51
347,equal,1,12,1,TRUE,off,39
348,equal,1,12,1,TRUE,off,51
349,equal,1,12,1,TRUE,off,43
350,equal,1,12,1,TRUE,off,36
351,equal,2,1,1,TRUE,off,34
352,equal,2,1,1,TRUE,off,33
353,equal,2,1,1,TRUE,off,30
354,equal,2,1,1,TRUE,off,34
355,equal,2,1,1,TRUE,off,34
356,equal,2,1,1,TRUE,off,42
357,equal,2,1,1,TRUE,off,31
358,equal,2,1,1,TRUE,off,43
359,equal,2,1,1,TRUE,off,31
360,equal,2,1,1,TRUE,off,32
361,equal,2,3,1,TRUE,off,36
362,equal,2,3,1,TRUE,off,41
363,equal,2,3,1,TRUE,off,34
364,equal,2,3,1,TRUE,off,47
365,equal,2,3,1,TRUE,off,38
366,equal,2,3,1,TRUE,off,44
367,equal,2,3,1,TRUE,off,43
368,equal,2,3,1,TRUE,off,44
369,equal,2,3,1,TRUE,off,39
370,equal,2,3,1,TRUE,off,36
371,equal,2,6,1,TRUE,off,45
372,equal,2,6,1,TRUE,off,47
373,equal,2,6,1,TRUE,off,34
374,equal,2,6,1,TRUE,off,57
375,equal,2,6,1,TRUE,off,37
376,equal,2,6,1,TRUE,off,49
377,equal,2,6,1,TRUE,off,49
378,equal,2,6,1,TRUE,off,38
379,equal,2,6,1,TRUE,off,39
380,equal,2,6,1,TRUE,off,40
381,equal,2,9,1,TRUE,off,53
382,equal,2,9,1,TRUE,off,52
383,equal,2,9,1,TRUE,off,39
384,equal,2,9,1,TRUE,off,44
385,equal,2,9,1,TRUE,off,38
386,equal,2,9,1,TRUE,off,47
387,equal,2,9,1,TRUE,off,55
388,equal,2,9,1,TRUE,off,49
389,equal,2,9,1,TRUE,off,42
390,equal,2,9,1,TRUE,off,42
391,equal,2,12,1,TRUE,off,36
392,equal,2,12,1,TRUE,off,40
393,equal,2,12,1,TRUE,off,39
394,equal,2,12,1,TRUE,off,46
395,equal,2,12,1,TRUE,off,42
396,equal,2,12,1,TRUE,off,39
397,equal,2,12,1,TRUE,off,41
398,equal,2,12,1,TRUE,off,49
399,equal,2,12,1,TRUE,off,41
400,equal,2,12,1,TRUE,off,54
401,equal,3,1,1,TRUE,off,35
402,equal,3,1,1,TRUE,off,48
403,equal,3,1,1,TRUE,off,36
404,equal,3,1,1,TRUE,off,48
405,equal,3,1,1,TRUE,off,34
406,equal,3,1,1,TRUE,off,37
407,equal,3,1,1,TRUE,off,28
408,equal,3,1,1,TRUE,off,36
409,equal,3,1,1,TRUE,off,32
410,equal,3,1,1,TRUE,off,37
411,equal,3,3,1,TRUE,off,43
412,equal,3,3,1,TRUE,off,43
413,equal,3,3,1,TRUE,off,46
414,equal,3,3,1,TRUE,off,40
415,equal,3,3,1,TRUE,off,37
416,equal,3,3,1,TRUE,off,44
417,equal,3,3,1,TRUE,off,41
418,equal,3,3,1,TRUE,off,41
419,equal,3,3,1,TRUE,off,43
420,equal,3,3,1,TRUE,off,37
421,equal,3,6,1,TRUE,off,34
422,equal,3,6,1,TRUE,off,41
423,equal,3,6,1,TRUE,off,42
424,equal,3,6,1,TRUE,off,37
425,equal,3,6,1,TRUE,off,66
426,equal,3,6,1,TRUE,off,34
427,equal,3,6,1,TRUE,off,47
428,equal,3,6,1,TRUE,off,35
429,equal,3,6,1,TRUE,off,41
430,equal,3,6,1,TRUE,off,39
431,equal,3,9,1,TRUE,off,41
432,equal,3,9,1,TRUE,off,41
433,equal,3,9,1,TRUE,off,42
434,equal,3,9,1,TRUE,off,45
435,equal,3,9,1,TRUE,off,39
436,equal,3,9,1,TRUE,off,41
437,equal,3,9,1,TRUE,off,44
438,equal,3,9,1,TRUE,off,36
439,equal,3,9,1,TRUE,off,41
440,equal,3,9,1,TRUE,off,62
441,equal,3,12,1,TRUE,off,42
442,equal,3,12,1,TRUE,off,37
443,equal,3,12,1,TRUE,off,36
444,equal,3,12,1,TRUE,off,32
445,equal,3,12,1,TRUE,off,37
446,equal,3,12,1,TRUE,off,40
447,equal,3,12,1,TRUE,off,37
448,equal,3,12,1,TRUE,off,39
449,equal,3,12,1,TRUE,off,36
450,equal,3,12,1,TRUE,off,39
451,equal,4,1,1,TRUE,off,36
452,equal,4,1,1,TRUE,off,38
453,equal,4,1,1,TRUE,off,36
454,equal,4,1,1,TRUE,off,37
455,equal,4,1,1,TRUE,off,33
456,equal,4,1,1,TRUE,off,28
457,equal,4,1,1,TRUE,off,37
458,equal,4,1,1,TRUE,off,43
459,equal,4,1,1,TRUE,off,37
460,equal,4,1,1,TRUE,off,37
461,equal,4,3,1,TRUE,off,43
462,equal,4,3,1,TRUE,off,38
463,equal,4,3,1,TRUE,off,51
464,equal,4,3,1,TRUE,off,33
465,equal,4,3,1,TRUE,off,46
466,equal,4,3,1,TRUE,off,45
467,equal,4,3,1,TRUE,off,41
468,equal,4,3,1,TRUE,off,35
469,equal,4,3,1,TRUE,off,36
470,equal,4,3,1,TRUE,off,37
471,equal,4,6,1,TRUE,off,36
472,equal,4,6,1,TRUE,off,42
473,equal,4,6,1,TRUE,off,43
474,equal,4,6,1,TRUE,off,50
475,equal,4,6,1,TRUE,off,33
476,equal,4,6,1,TRUE,off,38
477,equal,4,6,1,TRUE,off,41
478,equal,4,6,1,TRUE,off,41
479,equal,4,6,1,TRUE,off,33
480,equal,4,6,1,TRUE,off,37
481,equal,4,9,1,TRUE,off,57
482,equal,4,9,1,TRUE,off,45
483,equal,4,9,1,TRUE,off,41
484,equal,4,9,1,TRUE,off,41
485,equal,4,9,1,TRUE,off,36
486,equal,4,9,1,TRUE,off,43
487,equal,4,9,1,TRUE,off,35
488,equal,4,9,1,TRUE,off,44
489,equal,4,9,1,TRUE,off,39
490,equal,4,9,1,TRUE,off,37
491,equal,4,12,1,TRUE,off,49
492,equal,4,12,1,TRUE,off,43
493,equal,4,12,1,TRUE,off,34
494,equal,4,12,1,TRUE,off,34
495,equal,4,12,1,TRUE,off,37
496,equal,4,12,1,TRUE,off,51
497,equal,4,12,1,TRUE,off,38
498,equal,4,12,1,TRUE,off,40
499,equal,4,12,1,TRUE,off,45
500,equal,4,12,1,TRUE,off,34
