"","Mantel.local","Class.Index","P.value","run","Num.nursery","Constraints","Mimicry","step"
"11.4",0.013524579485748,9,0.0495049504950495,11,1,"off",FALSE,0
"11.5",0.0133323578570119,11,0.0594059405940594,11,1,"off",FALSE,0
"11.6",0.0121511084837477,13,0.0693069306930693,11,1,"off",FALSE,0
"11.7",0.0119484411982814,15,0.0792079207920792,11,1,"off",FALSE,0
"11.8",0.0117166526167671,17,0.0891089108910891,11,1,"off",FALSE,0
"11.9",0.00997710006216422,19,0.099009900990099,11,1,"off",FALSE,0
"11.10",0.00763960640895276,21,0.108910891089109,11,1,"off",FALSE,0
"11.11",0.00688700782927317,23,0.118811881188119,11,1,"off",FALSE,0
"11.12",0.00544699157457905,25,0.128712871287129,11,1,"off",FALSE,0
"11.13",0.00491943748119899,27,0.138613861386139,11,1,"off",FALSE,0
"11.14",0.00380987935909693,29,0.148514851485149,11,1,"off",FALSE,0
"12",0.0161241551013377,1,0.0099009900990099,12,1,"off",FALSE,0
"12.1",0.0209762098897741,3,0.0198019801980198,12,1,"off",FALSE,0
"12.2",0.0198493574661294,5,0.0297029702970297,12,1,"off",FALSE,0
"12.3",0.0141140506365206,7,0.0396039603960396,12,1,"off",FALSE,0
"12.4",0.00973081421540497,9,0.0495049504950495,12,1,"off",FALSE,0
"12.5",0.0109378491523508,11,0.0594059405940594,12,1,"off",FALSE,0
"12.6",0.010510912202311,13,0.0693069306930693,12,1,"off",FALSE,0
"12.7",0.0107632592782251,15,0.0792079207920792,12,1,"off",FALSE,0
"12.8",0.0100511811960263,17,0.0891089108910891,12,1,"off",FALSE,0
"12.9",0.00794180801055512,19,0.099009900990099,12,1,"off",FALSE,0
"12.10",0.00623838950100127,21,0.108910891089109,12,1,"off",FALSE,0
"12.11",0.00591830243967194,23,0.118811881188119,12,1,"off",FALSE,0
"12.12",0.00477640842172315,25,0.128712871287129,12,1,"off",FALSE,0
"12.13",0.00422370577199352,27,0.138613861386139,12,1,"off",FALSE,0
"12.14",0.00338005592631079,29,0.148514851485149,12,1,"off",FALSE,0
"13",0.0168017047827163,1,0.0099009900990099,13,1,"off",FALSE,0
"13.1",0.0219779083387463,3,0.0198019801980198,13,1,"off",FALSE,0
"13.2",0.0210502829273156,5,0.0297029702970297,13,1,"off",FALSE,0
"13.3",0.0158721217987654,7,0.0396039603960396,13,1,"off",FALSE,0
"13.4",0.0109114116173706,9,0.0495049504950495,13,1,"off",FALSE,0
"13.5",0.0118734200198678,11,0.0594059405940594,13,1,"off",FALSE,0
"13.6",0.0112025731388723,13,0.0693069306930693,13,1,"off",FALSE,0
"13.7",0.0115713483786543,15,0.0792079207920792,13,1,"off",FALSE,0
"13.8",0.0114228775138694,17,0.0891089108910891,13,1,"off",FALSE,0
"13.9",0.00899085469212244,19,0.099009900990099,13,1,"off",FALSE,0
"13.10",0.00733338004351878,21,0.108910891089109,13,1,"off",FALSE,0
"13.11",0.00678278383448109,23,0.118811881188119,13,1,"off",FALSE,0
"13.12",0.00559392949793728,25,0.128712871287129,13,1,"off",FALSE,0
"13.13",0.00520155062814337,27,0.138613861386139,13,1,"off",FALSE,0
"13.14",0.00433663625615663,29,0.148514851485149,13,1,"off",FALSE,0
"14",0.0163400111085724,1,0.0099009900990099,14,1,"off",FALSE,0
"14.1",0.0213499241668061,3,0.0198019801980198,14,1,"off",FALSE,0
"14.2",0.0202329600925375,5,0.0297029702970297,14,1,"off",FALSE,0
"14.3",0.0145153823950778,7,0.0396039603960396,14,1,"off",FALSE,0
"14.4",0.00964800957643378,9,0.0495049504950495,14,1,"off",FALSE,0
"14.5",0.0109469338222284,11,0.0594059405940594,14,1,"off",FALSE,0
"14.6",0.0102545778594184,13,0.0693069306930693,14,1,"off",FALSE,0
"14.7",0.0105721839115609,15,0.0792079207920792,14,1,"off",FALSE,0
"14.8",0.00987825176818553,17,0.0891089108910891,14,1,"off",FALSE,0
