"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.dist","Num.nursery","Mimicry","Constraints","step"
"16.6",0.00268346494119394,13,0.0693069306930693,16,"equal",0,3,4,TRUE,"off",99
"16.7",0.0010578890185459,15,0.0792079207920792,16,"equal",0,3,4,TRUE,"off",99
"16.8",0.00052284473419786,17,0.0891089108910891,16,"equal",0,3,4,TRUE,"off",99
"16.9",0.000214464435440632,19,0.267326732673267,16,"equal",0,3,4,TRUE,"off",99
"16.10",0.00136666749268038,21,0.108910891089109,16,"equal",0,3,4,TRUE,"off",99
"16.11",5.01762693146596e-05,23,0.534653465346535,16,"equal",0,3,4,TRUE,"off",99
"16.12",0.000450060309827354,25,0.445544554455445,16,"equal",0,3,4,TRUE,"off",99
"16.13",0.000521524580218456,27,0.594059405940594,16,"equal",0,3,4,TRUE,"off",99
"16.14",0.00016469145810706,29,0.851485148514851,16,"equal",0,3,4,TRUE,"off",99
"17",0.0312542906598278,1,0.0099009900990099,17,"equal",0,3,4,TRUE,"off",99
"17.1",0.0346164298194361,3,0.0198019801980198,17,"equal",0,3,4,TRUE,"off",99
"17.2",0.0235887980559864,5,0.0297029702970297,17,"equal",0,3,4,TRUE,"off",99
"17.3",0.0128317457662029,7,0.0396039603960396,17,"equal",0,3,4,TRUE,"off",99
"17.4",0.00660810597621893,9,0.0495049504950495,17,"equal",0,3,4,TRUE,"off",99
"17.5",0.00444571319742582,11,0.0594059405940594,17,"equal",0,3,4,TRUE,"off",99
"17.6",0.00218230163490762,13,0.0693069306930693,17,"equal",0,3,4,TRUE,"off",99
"17.7",0.00178798371170548,15,0.0792079207920792,17,"equal",0,3,4,TRUE,"off",99
"17.8",0.00210600078014847,17,0.0891089108910891,17,"equal",0,3,4,TRUE,"off",99
"17.9",0.00206676935559022,19,0.099009900990099,17,"equal",0,3,4,TRUE,"off",99
"17.10",0.00318100271629232,21,0.108910891089109,17,"equal",0,3,4,TRUE,"off",99
"17.11",0.00207254964900256,23,0.118811881188119,17,"equal",0,3,4,TRUE,"off",99
"17.12",0.00207785120128567,25,0.128712871287129,17,"equal",0,3,4,TRUE,"off",99
"17.13",0.00178470319791107,27,0.138613861386139,17,"equal",0,3,4,TRUE,"off",99
"17.14",0.00161299845352608,29,0.148514851485149,17,"equal",0,3,4,TRUE,"off",99
"18",0.0302248446287796,1,0.0099009900990099,18,"equal",0,3,4,TRUE,"off",99
"18.1",0.0336175765565666,3,0.0198019801980198,18,"equal",0,3,4,TRUE,"off",99
"18.2",0.0230889028430246,5,0.0297029702970297,18,"equal",0,3,4,TRUE,"off",99
"18.3",0.012212474501505,7,0.0396039603960396,18,"equal",0,3,4,TRUE,"off",99
"18.4",0.00636363947856922,9,0.0495049504950495,18,"equal",0,3,4,TRUE,"off",99
"18.5",0.00428247654379027,11,0.0594059405940594,18,"equal",0,3,4,TRUE,"off",99
"18.6",0.00233242948491764,13,0.0693069306930693,18,"equal",0,3,4,TRUE,"off",99
"18.7",0.00194223128095164,15,0.0792079207920792,18,"equal",0,3,4,TRUE,"off",99
"18.8",0.0017333678488755,17,0.0891089108910891,18,"equal",0,3,4,TRUE,"off",99
"18.9",0.00173525671241138,19,0.099009900990099,18,"equal",0,3,4,TRUE,"off",99
"18.10",0.00284375739058723,21,0.108910891089109,18,"equal",0,3,4,TRUE,"off",99
"18.11",0.00191008135748721,23,0.118811881188119,18,"equal",0,3,4,TRUE,"off",99
"18.12",0.00181110900096196,25,0.128712871287129,18,"equal",0,3,4,TRUE,"off",99
"18.13",0.00134516158281034,27,0.138613861386139,18,"equal",0,3,4,TRUE,"off",99
