"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraints","Step"
"11",0.026442061534153,1,0.0099009900990099,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.1",0.0351115911687572,3,0.0198019801980198,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.2",0.0340688619375132,5,0.0297029702970297,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.3",0.0279176618081548,7,0.0396039603960396,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.4",0.023130717609431,9,0.0495049504950495,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.5",0.0180650719016425,11,0.0594059405940594,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.6",0.0137473495323752,13,0.0693069306930693,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.7",0.00963269376849949,15,0.0792079207920792,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.8",0.00676766937030358,17,0.0891089108910891,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.9",0.00460046953855325,19,0.099009900990099,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.10",0.00419341481752632,21,0.108910891089109,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.11",0.00193280874139784,23,0.118811881188119,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.12",0.00135715650576402,25,0.128712871287129,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.13",0.000809923675742391,27,0.138613861386139,11,"equal-or-greater","0",3,1,TRUE,"off",99
"11.14",0.00032668357192578,29,0.366336633663366,11,"equal-or-greater","0",3,1,TRUE,"off",99
"12",0.0292570268985003,1,0.0099009900990099,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.1",0.0388728886820057,3,0.0198019801980198,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.2",0.0377947331712698,5,0.0297029702970297,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.3",0.0313035996086034,7,0.0396039603960396,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.4",0.0262357987902235,9,0.0495049504950495,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.5",0.0205460005230934,11,0.0594059405940594,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.6",0.0155928929497835,13,0.0693069306930693,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.7",0.0109599583924135,15,0.0792079207920792,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.8",0.0080530875659567,17,0.0891089108910891,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.9",0.00622919314976143,19,0.099009900990099,12,"equal-or-greater","0",3,1,TRUE,"off",99
