"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"11.14",5.77038447252744e-05,29,1,11,"equal-or-greater",0,3,1,TRUE,"random",22
"12",0.0101291850184134,1,0.0099009900990099,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.1",0.00998140509111326,3,0.0198019801980198,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.2",0.00551247095660547,5,0.0297029702970297,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.3",0.00233168316548697,7,0.0396039603960396,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.4",0.00107793126130749,9,0.0495049504950495,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.5",0.000549412256405186,11,0.0594059405940594,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.6",0.000297520052386805,13,0.297029702970297,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.7",0.000426830826789442,15,0.277227722772277,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.8",0.000510342757822305,17,0.415841584158416,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.9",0.000515674659507623,19,0.554455445544555,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.10",0.00053840533646118,21,0.693069306930693,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.11",0.000341402651503816,23,0.831683168316832,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.12",0.000380023495618981,25,0.97029702970297,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.13",0.000316690771245517,27,1,12,"equal-or-greater",0,3,1,TRUE,"random",19
"12.14",-1.63557450583348e-05,29,1,12,"equal-or-greater",0,3,1,TRUE,"random",19
"13",0.0106226908021933,1,0.0099009900990099,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.1",0.010578783582009,3,0.0198019801980198,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.2",0.00575791415037228,5,0.0297029702970297,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.3",0.00289423654764334,7,0.0396039603960396,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.4",0.00167732239476243,9,0.0495049504950495,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.5",0.00120650778242335,11,0.0594059405940594,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.6",0.00040629731114633,13,0.188118811881188,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.7",0.000346319972268079,15,0.376237623762376,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.8",0.000637303799417208,17,0.148514851485149,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.9",0.000460683361904994,19,0.564356435643564,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.10",0.000648631107660305,21,0.396039603960396,13,"equal-or-greater",0,3,1,TRUE,"random",22
